"","agegroup","weight","lowerbound","upperbound"
"10","45_49",0.00222241074651196,0.00126439579585341,0.00318042569717051
"11","50_54",0.00362239321109936,0.0026567939567938,0.00458799246540492
"12","55_59",0.00754274600006164,0.00572744296886691,0.00935804903125638
"13","60_64",0.0119340873649971,0.00941604327137456,0.0144521314586196
"14","65_69",0.0453383431606826,0.0394445271019357,0.0512321592194294
"15","70_74",0.0824720238104097,0.0738812609789358,0.0910627866418836
"16","75_79",0.141940609161409,0.129646842778137,0.15423437554468
"17","80_84",0.22391480816177,0.203762613855288,0.244067002468253
"18","85_89",0.301619789524332,0.278759102503957,0.324480476544707
"19","90+",0.341565560685439,0.317067554518423,0.366063566852455
